Name,Sail no.,Type,Design,Designer,Region
Tryon,T1138,Trailer Yacht,Sigrid,,
Tryphena,7036,Multi-hull,,A Piver,
Tryrant,7139,,Trimaran,A Piver,
Tryst,3579,,,J Spencer,
Tryx,T3714,,,H Wagstaff,
Tsarina,T1862,,,P Emeny,
Tsunami,T72,,,C Mahan,
Tsunami,857,,,J Woollacott,
Tsuris,T199,,,R Hartley,
Tu Ariki,863,,Takiri,J Lidgard,
Tua Hine,7217,,,Jim Young,
Tuahine,6,,,Dickson,
Tuangi,T772,,,R Hartley,
Tuaraki,564,Keelboat,,Col Wild,
Tuarangi,6508,,,Alan Wright,
Tuatahi,1328,Keelboat,,J Spencer,
Tuatahi II,9665,Keelboat,Hanse 455,Judel/Vrolik,
Tuatahi III,4271,,,Hart,
Tuatahi IV,6530,,,Brekvelt,
Tuatara,5058,Keelboat,,Alan Wright,
Tuatara,7152,,,R Hartley,
Tuatea,7371,,Catamaran,Jim Young,
Tubbey,5967,,,K G Fraser,
Tucana,1101,,,,
Tucana,286,,,D T Townson,
Tucana I,675,,,M Carter,
Tugela,T3856,,,,
Tuhira,8557,,,S Parker,
Tui,7208,,,J Brown,
Tui,T149,,,R Hartley,
Tui,997,,,R Tucker,
Tui II,T2971,,,Moonraker,
Tui In The Hand,4064,Keelboat,Variant,Alan Wright,
Tuihana,3386,,Pacer 24,Alan Wright,
Tuihana,T3386,,,,
Tuirangi,735,Other,,Couldrey,
Tukawile,T2809,,Caribou 20,F Pelin,
Tula,T3493,,,O Woolley,
Tulip,T304,Trailer Yacht,Farr 6000,B Farr,Canterbury
Tulla,T2643,,,Honey/Trethewey,
Tullamore Dew,2756,,,Alan Wright,
Tum Tum,T1579,,,T Adams,
Tumblehome,6777,,,Bruce Askew,
Tumbleweed,8392,Keelboat,Lotus 9.2,Alan Wright,Auckland
Tumbleweed,2836,,,R Hartley,
Tumbleweed II,6247,,,F Pelin,
Tumblin Dice,8307,,Lidgard 29,Lidgard,
Tumua,3690,Keelboat,Pacific 38,C Smith,
Tunnel Vision,L1072,Launch,,R Given,
Tupaia,9749,Keelboat,Beneteau - Oceanis 35.1,Finot - Conq,
Tupapa Nui,T809,,,,
Tupeka,T1109,Trailer Yacht,,F de Joux,
Turaco,T2890,Trailer Yacht,Aquarius 22,C Jeffrey,Wellington
Turakina,770,,,A Couldrey,
Turbulent,T3683,Trailer Yacht,Noelex 25,Trethewey/Marten,
Turere,2092,Keelboat,,Childs,
Turkey Buzzard,T1440,,,R Hartley,
Turkish Delight,T1272,,,N Honey,
Turkish Delight 8,T2878,Trailer Yacht,Sabre 20,A Scott,
Turnabout,T3507,,,Trethewey/Mart,
Turnagain,773,,,Alden,
Turnerazzi,T4591,,Moonraker,Moonraker,
Turnham Green,8173,,Variant,Alan Wright,
Turning Point,3827,Keelboat,Raven 26,Owen Woolley,
Turtle Dove,T311,Trailer Yacht,Hartley 16,R Hartley,
Turua,2345,Keelboat,Nova,Alan Wright,
Turua,L1614,,,,
Tusi II,6245,Keelboat,Oceans 12,Alan Wright,
Tusi Tala,204,,,Logan,
Tusind Tak,4671,,,Folkboat,
Tusk,T294,,,B N Dahl,
Tussock,T1406,,,Honey/Trethewey,
Tussock Jumper,T1119,Trailer Yacht,,TretheweyMarten,
TUTÅª,7900,Multi-hull,Catamaran,Alli-Cat,
TUTAHI,9790,Keelboat,POGO1250,FINOT-CONQ,
Tutanekai,2941,Other,Salar 40,Laurent Giles,
Tutoko,5853,,,Alan Wright,
Tuxedo,L1835,Other,,Pelin,
Tuxedo Junction,6546,Keelboat,Wright 11,Alan Wright,
Tweedledee,T1375,Other,,L Davidson,
Tweety Bird,5129,Keelboat,Quarter Tonner,Davidson,Bay of Plenty
Twelve Twenty,6266,Other,Farr 1220,Bruce Farr,
Twentysomething,T3868,,Elliott 7.4,Greg Elliott,
Twice As Much,4643,,Tracker,Alan Wright,
Twices Nice,7313,Multi-hull,Gulf Tiger,Ron Given,
Twickenham Ferry,2702,,,L Davidson,
Twiki,5937,,,P Whiting,
Twilight,1391,Keelboat,Townson 32,Des Townson,
Twilight Express,5916,Keelboat,Beale,R Beale,
Twilight Express II,7431,Multi-hull,GBE cat,M Tennant,Northland
Twilight Zone,5833,Other,Chico 40,Gary Mull,
Twin Ripples,7271,,,P Patterson,
Twin Tex,5761,,,Alan Wright,
Twink,T386,,,P Whiting,
Twinkle Toes,T1321,,,Hoeny/Trethewey,
Twins,6077,Keelboat,,G J Lynds (wilson),
Twista,T1270,,Aquarius 22,C Jeffrey,
Twisted Sisters,7357,,Turissimo 9,M Tennent,
Two Che,3320,,,Bruce Farr,
Two Gypsies,1234,Keelboat,H 28,L F Herreshoff,
Two Lanes,7406,,,Ron Given,
Two Sisters,703,Keelboat,,,
Two Speed,4482,Keelboat,H 28,L F Herreshoff,
Two Wild,7521,,,Simpson,
Two-N-Fro,T968,Trailer Yacht,,A Mummery,
Two's Company,6113,Other,Farr 9.2,Bruce Farr,
Twosome,3345,,,J Gladden,
Twospot,T2590,,,,
Tybah,L1822,,,G Banks,
Typhoon,1528,Keelboat,IOR 1/4 ton,Spencer,
Tyro,T3211,,,F de Joux,
Tyro,2000,,Saraband,J Spencer,
Tyrone,6417,Keelboat,Townson 34,D T Townson,
Tyrone,7172,,,,
U Choose,3790,Keelboat,Davidson 28,L Davidson,
U-Beaut,T127,,,R Hartley,
Ubique,9500,Keelboat,Elliot Tourer 1450,Elliott,Auckland
Udacha,9102,Keelboat,,Berret Dacopeau,Auckland
Uenuku,T4252,Trailer Yacht,Caribou 20,F Pelin,Auckland
Uhuru,L1426,,,,
Uhuru II,T4027,Other,Aquarius 22,C Jefferies,
Ula,T3511,,,C Cooke,
Ulinga,2590,,Cavalier 39,R Salthouse,
Ultimate,T2975,,Farr 7.5,Bruce Farr,
Ultimate Warrior,6920,,Farr 1220,Bruce Farr,
Ultimatum,6035,,Lotus 10.6,Alan Wright,
Ultimus,3469,,,R Hartley,
Ultraviolet,7373,,Catamaran,M Tennant,
Ulysses,4214,,,Mummery,
Ulysses,T3627,,Tasman 20,Alan Wright,
Umeme II,1964,Other,Reactor,P Whiting,
Un_Named,T689,,,C Jeffrey,
Unamed,T1436,,,,
Unanimous,T974,Trailer Yacht,,Armstrong/Bligh,
Uncle Arthur,381,Keelboat,,J Spencer,Canterbury
Uncle Doc,T2278,,,P Whiting,
Uncle Remus,3970,,,H Wagstaff,
Uncle Sam,3189,,Tracker,Alan Wright,
Under the Radar,L9623,Launch,Tristram 550,Tristram Boats,
Undercover,6668,Keelboat,Young 88,Jim Young,
Underground,2497,Other,Farr 727,Bruce Farr,
Undersided,6303,,,D Peterson,
Underwayi,8545,,Hartley 14,Hartley,
Undine,7017,Multi-hull,,,
Unhinged,T5150,Trailer Yacht,Cooke 10m,Colin Cooke,
Unicorn,T366,,,R Hartley,
Unikke,1559,Trailer Yacht,Buccaneer 18,Chrysler,
Union Jack,4696,,,Bruce Farr,
Unique,3554,,,C W Paice,
Unique,7469,Multi-hull,Catamaran,Gavin Cooke,
Unique 88,6876,Other,Young 88,Jim Young,
Unison,6622,,,D Townson,
Unitec,T4110,Trailer Yacht,Elliott 780,Greg Elliott,Auckland
Unity,T3710,,Young 780,Jim Young,
Unity,5574,Keelboat,Farr 1020,Bruce Farr,
Unknown,4581,,,Gillespie,
Unkown,6839,,,Bruce Roberts,
Unleaded,7486,,Catamaran,R Given,
Unleashed,T4073,Trailer Yacht,Unleashed 7m,Colin Cooke,
Uno,T1951,,,,
Unplugged,8346,,,M Ross,
Unpredictable,4966,Keelboat,Farr 1020,Bruce Farr,
Unreal,4757,Keelboat,Lambert 36,Gary Lambert,
Unshackled,T2173,Other,Scintilation,R Grenfell,
Untold,4314,Keelboat,,G Lambert,
Untried,7028,Multi-hull,,,
Up Front,T3383,,Farr 5000,Bruce Farr,
Up Spirits,L1078,,,Clydecraft,
Upcycled,9963,Keelboat,Pettit 28,Andrew Pettit,
Update,6741,Keelboat,Farr 9.2,Bruce Farr,Wellington
Upfront,E814,Other,Etchells,Skip Etchells,
Uplift,T2460,,Farr 6000,Bruce Farr,
Upmarket,T3331,,,Murray Ross,
Upper Creek,T3814,,Hartley 18,R Hartley,
Upshot,8425,Keelboat,,Greg Elliott,
Upstart,2569,Keelboat,Reactor,P Whiting,
Uptown Girl,8414,,,P Nelson,
Uptown Girl,L1014,,,T Mason,
Urban Cowboy,4750,Keelboat,Ross 40,Murray Ross,Auckland
Urban Escape,8687,Keelboat,Beneteau First 31.7,Groupe Finot,
Urchin,T1049,Trailer Yacht,,Tretheway/Honey,
URRACO,2982,Other,Swan 37,O'Shea,
Usain Boat,T3595,Trailer Yacht,Elliott 5.9,Greg Elliott,Auckland
Usquabae,4187,,Compass 790,H Wagstaff,
Usurper,5301,Keelboat,,B Birdsall,
Utile Dulci,6906,,,Bruce Roberts,
Utopia,T99,Trailer Yacht,,Owen Woolley,
Utopia II,9251,Trailer Yacht,Oceania 915,,Western Districts
Uzek - Amanzi,T2499,,,C Jeffrey,
V1,10500,Keelboat,Dufour 500,Felic Yachts,
V5,55555,Keelboat,Andrews TP 52,Alan Andrews (Andrews TP 52),Auckland
Vagabond,9799,Keelboat,Vickers 45,Dudley Dix,
Vagabond,L1314,,Vindex,Jim Young,
Vagabond,T684,,,R Hartley,
Vagabond II,T2044,,,Owen Woolley,
Vagan,3674,Keelboat,Lidgard 40,J Lidgard,
Vagrant,1395,Other,,Bax Read,
Vagus,T2250,,,G Appleby,
Vaila,1057,,,Athol Burns,
Vailima,5871,,,R Hartley,
Vailima II,9338,Keelboat,,Warwick,
Vailoa,6437,Other,,D Ganley,
Vaitere,T821,,,TretheweyMarten,
Vaka-Nui,T2595,,,Bruce Farr,
Val,T2142,,,R Hartley,
Val D'isere,4767,,Townson 34,D T Townson,
Vala,6382,Other,,Alan Wright,
Valanme,T3836,,Sabre 20,,
Valann III,3324,,,Bollard,
Valarie May,1423,,H 28,L F Herreshoff,
Valastro,3381,,,F Pelin,
Valderee,436,,,C Wild,
Valdora II,4565,,,F Pelin,
Valeeta,2324,,Raven 26,Owen Woolley,
Valencia,1349,Keelboat,,L F Herreshoff,
Valencia,L1206,,,Jim Young,
Valentine,6328,,Lotus 10.6,Alan Wright,
Valerie Mae,T1216,,,,
Valeron,506,,,C Wild,
Valeta,440,Keelboat,Val Class,Col Wild,
Valeta,L1802,,,Young,
Valezina,499,Keelboat,Val Class,Colin Wild,Auckland
Valgene,1214,,,R Sewell,
Valhalla,438,,,Col Wild,
Valhalla 1,L1504,Launch,,Gladden,
Valiant,L1431,,Vindex,Jim Young,
Valisa,T1501,,,F Pelin,
Valium,8571,Keelboat,,Ian Vickers (Vickers 10.6),
Valkay,1450,,,P Rhodes,
Valkay II,L1208,,,,
Valkyr,957,,,Scandanavia,
Valkyr III,T2580,Trailer Yacht,Beachcomber,R Hart,
Valkyrie,T3731,,Farr 6000,Bruce Farr,
Valkyrie,479,,,C Wild,
Valour,6370,,,Clark,
Valpierre,2393,,Easterly,C A Smith,
Valynda,535,,,C Wilde,
Vamonos,T4324,Trailer Yacht,Catalina 7,Allan Wright,
Vamonos,8836,Keelboat,Young 88,Jim Young,Northland
Vamoos,4136,,,R Hartley,
Vamp,3089,Other,Nova,Alan Wright,
Vamp,T1172,Trailer Yacht,,TretheweyMarten,
Vamp II,6627,,,,
Van Der Hum,2628,,,F Kinney,
Van Ish,T3717,Trailer Yacht,Van Dieman,J Lidgard,
Vana,3126,,,Wagstaff,
Vanadis,3987,,Davidson 28,L Davidson,
Vandal,2273,,,E Cox,
Vanessa,7706,,,A Piver,
Vanette,T3406,,,,
Vanilla Ice,8152,Keelboat,,A Warwick,
Vanita,512,,,B Woollacott,
Vanity Fair,4740,,,Ray Beale,
Vanity Faire,T5202,,Ross 780,Murray Ross,
Vanora,2101,,,Scandinavian,
Vanquish,1990,Keelboat,Pacific 38,C A Smith,
Vanquish,,Launch,Bill Upfold,,Auckland
Vansara,4303,,H 28,L F Herreshoff,
Vantage,L1064,,,Jim Young,
Vantage,2776,,,R Hartley,
Vantastik Venturer,T1143,Trailer Yacht,Ross 780,Murray Ross,
Vapour Trail,748,Keelboat,Farr 1020,Bruce Farr,
Varangion,2601,,Variant,Alan Wright,
Varda,4076,,Variant,Wright,
Vareena,2023,,,Alan Wright,
Varekai,3618,Keelboat,H 28,L F Herreshoff,
Varua,2576,Keelboat,S & S 24,Sparkman & Stephen,
Varuna,1227,Keelboat,Yankee One Design,LF Hereschoff/ S Burgess,
Varuna II,8478,,,Pelham/Estcourt,
Vasana,4062,,,Alan Wright,
Vashti,T301,,,R Hartley,
Vatcian II,T2166,,,Honey/Trethewey,
Vaya Vaya,6756,Keelboat,Wright 10,Alan Wright,Northland
Vayu,9465,Keelboat,X-Yachts 442,X-Yachts,
Vectis,715,,,B Woollacott,
Vedette,605,,,R G Hart,
Veedon Fleece,4803,Keelboat,,Cassidy,
Vega,5073,,,Hayter,
Vegas,4928,Keelboat,Lotus 9.2,Alan Wright,
Vegas,7653,Multi-hull,,Lagoon,
Vegas II,5758,,Lotus 10.6,Alan Wright,
Vela,6811,Keelboat,C Robertson,Bob Rimmer,
Vela Blanca,9468,Keelboat,Sloop,Van Dam,
Vela Veloce,O84248,Keelboat,Southern Cross 52,Reichel Pugh,
Veladare,7602,Multi-hull,Venezia,Fountaine Parjot,Auckland
Velela 2,9771,Keelboat,Adams,Mr Adams,
Velella,T3243,Other,Farr 7.5,Bruce Farr,
Velero,2392,Keelboat,Easterly,Alan Smith,
Vellamo,9734,Keelboat,Hanse 418,Judel & Vrolijk,
Veloce,T1076,Trailer Yacht,Farr 740 Sp,Bruce Farr,
Velocity,5888,Keelboat,Young 88,Jim Young,Nelson/Marlborough
Velsheda,1319,,,C Robertson,
Velsheda II,6833,Other,,Van de Stadt,
Vendetta,1979,Keelboat,Moody 44,Laurent Giles,Wellington
Veni Vidi Vici,2397,,,J Clarke,
Veni Vidi Vixi,O2823,Keelboat,Hanse 455,judel/vrolijk & co,
Venite,2171,,,A Smith,
Ventolero,3083,,,L F Herreshoff,
Ventora,T408,,,Honey/Trethewey,
Ventura,7581,Multi-hull,,McLeod Consulting Group,
Venture,737,,,Collings,
Venture,1397,Keelboat,,L Boielle,
Venture Farr,T3890,Trailer Yacht,Farr 6000,Bruce Farr,
Venture II,O497,Keelboat,Elliott Imoca 50,Greg Elliott,
Venture K,8597,,,R Beale,
Venture Xpress,10063,Multi-hull,Leopard 38,Morrelli-Melvin,
Venturer,T2127,,,Owen Woolley,
Venturer,603,,,Col Wild,
Venturi,2338,,Variant,Alan Wright,
Ventus,9128,Keelboat,Ross 830,Murray Ross,Nelson/Marlborough
Venus,T3093,,,F Pelin,
Venus,264,Keelboat,,Bo Birdsall,
Venus,7020,Multi-hull,,A Piver,
Vera,T2158,,Caribou 17,F Pelin,
Vera Cruz,7117,,Trimaran,Piver,
Verbatim,8046,,Chico 355,Keith Eade,
Vercara,6415,Keelboat,Farr 1220,Bruce Farr,Auckland
Verdict,5186,,Mull 9.5,Gary Mull,
Verite,6206,,,Alan Wright,
Verity,E241,Keelboat,,S Etchells,
Verona,4154,Trailer Yacht,Sabre 20,Alan Scott,Southland
Vertigo,452,Keelboat,Morgan 7.4,J Morgan,
Verushka,T3741,,,J Brooke,
Verve,8925,Keelboat,,Felici & Roseo,
Verve II,9679,Keelboat,Beneteau 41.1,Finot Conq,
Vespa,T3615,Trailer Yacht,Ross 650,Murray Ross,
Vesper,54,Other,,Harrison/Butler,
Vesper I,8902,Keelboat,Townson 38,Des Townson,
Vesper II,4319,Keelboat,Lotus 9.2,Alan Wright,Wellington
Vestalia,686,,Pied Piper,D T Townson,
Veto,4085,,,R Salthouse,
Vibrant,T1655,,,A Wright,
Vibrant,1725,,Variant,Alan Wright,
Vicarious,9847,Keelboat,Ketch,Fisher,
Vichyssoise,T3129,Trailer Yacht,Moonraker 26,Moonraker Marine,
Vicissitudes,5267,Other,,Alan Wright,
Victoria,583,Other,,Goldwater,
Victory,T2587,,,L Davidson,
Victory,8,Other,,Logan Brothers,
Victory,L1211,,Vindex,Jim Young,
Vida,731,,,B Woollacott,
Vien,3449,Keelboat,H 28,L F Herreshoff,
Viento,4561,Other,Chico 30,Gary Mull,
Viento II,O2052,Keelboat,TP 52,Judel Vrolijk,
Vigilant,9755,Keelboat,Blue Water 41,Terry Wells,
Vigilante,5563,Other,,Alan Wright,
Viking,1,Other,,C Bailey Jnr,
Viking,T1492,,Hartley 18,R Hartley,
Viking II,2138,,Variant,Alan Wright,
Viking Spirit,6666,Keelboat,,M P Orchard,
Village Kid,6018,,Farr 1020,Bruce Farr,
Villanelle,9236,Keelboat,Hanse 400,Judel Vrolijk,
Vim,203,Keelboat,,P Nelson,
Vim II,1107,,,D Cheverton,
Vin Palace,L1044,,,J Young,
Vin Rouge,T1972,,,Alan Wright,
Vincenzo,6614,Keelboat,Farr 1220,Bruce Farr,
Vincitore,52001,Keelboat,Southern Cross 52,Riechel Pugh,
Vindictive,6486,,,M Muir,
Vingilot,6604,Keelboat,Cavalier 45,Laurie Davidson,Auckland
Vinherit,T57,,,Owen Woolley,
Vino,2643,Keelboat,Variant,Alan Wright,
Vintage,1904,,,P Whiting,
Vintage 29,1995,,,Cookson,
Vintara,T2475,,,Owen Woolley,
Violet,T1531,,,X Class,
Viper 5,7471,,,T Clissold,
Virago,1410,Other,Gulf 30,B Birdsall,
Virago,T4080,Other,Young 6,J Young,
Virginia Gold,4895,Keelboat,Saraband,John Spencer,
Virginia Plain,T1288,Trailer Yacht,Noelex 22,Noel Honey & Alex Trehewey,Auckland
Virgo,3661,,H45,L F Herreshoff,
Virtu,6721,Keelboat,,B Roberts,
Virtual Reality,8281,,,Lidgard,
Virunga,T1905,Trailer Yacht,Gazelle 7.6,T Adams,
Vis,R2004,Keelboat,BW38,Bakewell-White,
Vis A Vis,8331,,,D Andrieu,
Vision,T1937,,,Honey/Trethewey,
Vision,8706,Keelboat,,D Ganley,
Vision II,T1942,,,Owen Woolley,
Vision Too,4130,,,D Ganley,
Visions,T3675,Trailer Yacht,NOELEX 25,Trethewey Marten,Bay of Plenty
Viska,1523,,Variant,Alan Wright,
Vista IV,L1318,,,Pollock Eade,
Visual Progress,6279,Keelboat,Lotus 950,Alan Wright,
Vita Nova,T1981,,Aquarius 22,C Jefferies,
Vital Spark,4891,,,Alan Wright,
Vitamin B,9622,Multi-hull,H20,Bruce Beca,Bay of Plenty
Vitamin C,T1750,,Caribou 17,Alan Wright,
Vitamin E,T3735,Trailer Yacht,Elliott 7.4,Greg Elliott,Auckland
Vitamin Sea,4835,,,G Appleby,
Vitamin Sea II,T1462,,,A Mummery,
Vitar,2197,,Variant,Alan Wright,
Vitema,L1506,,,Jim Young,
Vitesse,7035,Multi-hull,,A Young,
Vitesse,2080,Keelboat,,J Spencer,
Vitesse II,2227,,H 28,L F Herreshoff,
Vittoria,8298,Keelboat,,B Askew,
Viv,T2377,,,,
Viva,9477,Keelboat,Beneteau First 47.7,Farr Beneteau 477,Auckland
Viva La Vida,9594,Keelboat,Hanse 455,Judel/Vrolijk & Co,
Viva Yo,T2161,Trailer Yacht,Redwing,Wallace McNair,
Vivace,T550,,,Honey/Trethewey,
Vivace,3388,Keelboat,Lotus 9.2,Alan Wright,Northland
Vivace,7466,Multi-hull,Catamaran,R Given,
Vivace II,T2229,,Farr 6000,Bruce Farr,
Vivacious,6798,Other,,Huntingford,Waikato/Thames
Vivacity II,3346,Keelboat,S & S 24,Sparkman & Stephens,
Vivaldi,8547,Keelboat,Elliott 1050,Greg Elliott,Auckland
Vivante,1704,Other,,J Gladden,
Viveka,8861,Keelboat,Bavaria,Bavaria Yachts,Auckland
Vivimus Somniata,9482,Keelboat,,Judel/Vrolijk,
Vivo,8991,Keelboat,Hanse 370e,Judel/Vrolijk,Auckland
Vivo,466,,,Alan Wright,
Vixen,994,,,J Spencer,
Vixen,T1612,,,Honey/Trethewey,
Vixen,L1331,,Vindex,Jim Young,
Vixen 76,O76,Keelboat,Verdier Class 40,Verdier,Northland
Vixen VI,4749,Keelboat,,Alan Wright,
Vixen VII,8550,Keelboat,,Alan Wright,
Viya,L1862,Launch,Sunrunner 2800,,
VO65 NO6,NZL22,Keelboat,Volvo 65,Farr,
Vodafone32,2132,Multi-hull,GC 32,Martin Fisher,Auckland
Vodou Ho,6393,Keelboat,Bermudian cutter,B Clark,Auckland
Voertsek,T2328,,,P Whiting,
Voila,9296,Keelboat,Beneteau Oceanis 54,Berret Racoupeau Yacht Design,
Vol-Au-Vent,T373,,,F Cooke,
Volant,8169,,Whiting 29,Paul Whiting,
Volante,T501,Trailer Yacht,Noelex,Honey/Trethewey,
Volante,79,Keelboat,,Bob Miller/Ben Lexion of Sydney,
Volante II,T1221,,,J Hakker,
Volare,2124,,Variant,Alan Wright,
Volare I,10021,Keelboat,Bavaria 42,J&J Design,
Volare II,4145,,,P Whiting,
Volition,4789,,,D Senior,
Voltaire,L1252,,Corsair,Salthouse,
Voltaire,3015,Keelboat,S & S 24,Sparkman & Stephens,
Von Tempsky,7235,,GBE cat,M Tennant,
Vongalen,1986,,,R Hartley,
Voodoo,T3203,Trailer Yacht,Elliott 5.9,Greg Elliott,
Voodoo,188,Keelboat,Young 88,Jim Young,
Voodoo Lounge,8415,Keelboat,Edlin 10.5,Richard Edlin,
Voom,7241,Multi-hull,GBE cat,Malcolm Tennant,
Vorpal Blade,7142,Multi-hull,Vorpal Blade mk1,M Tennant,Auckland
Vortex,3802,Keelboat,Lotus 9.2,Alan Wright,
Votary,8352,Other,Salthouse 48,B Salthouse,
Vouvray,T644,,,A N Wright,
VOX,9806,Keelboat,BLUE WATER CRUISER,SCOTT KAUFMAN,
Voyager,790,,,H Taylor,
Vrede,T4025,,Catalina 7,A Wright,
Vulcan,1100,Keelboat,,H Wagstaff,
Vuole-Anda,2335,,,Woollacott,
WÄ Tahi,4327,Keelboat,Stewart 36,Bob Stewart,
Wag,T3957,Trailer Yacht,Mallard 22,Hal Wagstaff,
Wag'n Trail,T3152,Other,Beale 780,Ray Beale,
Wahoo,T2710,Other,,R Hartley,
Wai Anau,1058,,,R L Stewart,
Wai Aniwa,1280,Keelboat,,Dick Carter,
Wai Aroha,6073,,,P Atkinson,
Wai Aroha,T3563,,Young 780,Jim Young,
Wai Kat A Moo Cow,T4242,Trailer Yacht,Elliot 5.9,Elliot,
Wai Tri,7103,,,A Piver,
Wai Wurri,T2588,Other,,J Spencer,
Wai-Ata,T676,Other,,R Tucker,
Wai-Hurri,1829,,,Alan Wright,
Wai-Iti,2401,Other,,R Hartley,
Wai-Manu,T1663,,,L Davidson,
Wai-Ula,T1182,,Cherry 16,F Pelin,
Waiake,445,Keelboat,,Alex Baxter,
Waianiwa,T3444,,Gazelle 24,Dart Services,
Waiari,5956,,Carpenter 29,R Carpenter,
Waiaro,993,Other,,Visser,
Waiata,305,Other,,Logan,
Waiata,575,Keelboat,H 28,L F Herreshoff,
Waiata Hau,2516,,,Orams,
Waiata II,3017,Other,,A Mummery,
Waiata II,T3180,,,Alan Wright,
Waiata III,3448,,,C Smith,
Waiata Moana,T2980,,,F Pelin,
Waiata WhÄ,6020,Keelboat,Farr 1020,Bruce Farr,
Waicula,T217,,,R Hartley,
Waif,4948,,Noelex 30,Bruce Farr,
Waihaha,7127,,Trimaran,B McKenzie,
Waihoki,4840,Keelboat,Lotus 9.2,Alan Wright,
Waikare II,T2021,,,F Pelin,
Waikea,T1551,,,Honey/Trethewey,
Waikere,8105,,,Atkinson,
Waikiwa,T3435,,Aquarius 22,C Jeffrey,
Waikiwi,6520,Keelboat,Farr 1220,Farr,Nelson/Marlborough
Waikomouri,,Launch,,,
Waikomuri,L1200,Other,,Haag,
Waikonini,1602,,,P Whiting,
Wailea,5361,Keelboat,,D T Townson,
Waima,T431,,,Bruce Farr,
Waimana,1102,,,,
Waimana II,4092,Keelboat,Raven 26,Owen Woolley,Bay of Plenty
Waimania,2084,,,D T Townson,
Waimanu,1824,Other,Townson 32,D T Townson,
Waimanu,T2886,,Hartley 16,R Hartley,
Waimanu II,T2379,,,F Pelin,
Waimarama,5120,,,L F Herreshoff,
Waimarama Rua,T331,,Hartley 16,R Hartley,
Waimarie,1147,,,M Griffiths,
Waimarie,T601,,,R Hartley,
Waimarie II,T1717,,,Honey/Trethewey,
Waimarie III,T2686,,,R Hartley,
Waimarie III,1721,,,T Petrie,
Waimarie IV,T1742,,,L Davidson,
Waimarie IV,3466,,,R Hartley,
Waimarie Of Te Puru,1090,,,Cox,
Waimarie Tuarua,T1844,,Davidson M20,L Davidson,
Wainani,8473,Keelboat,Beneteau Oceanis 473,Jean Marie Finot (Groupe Finot),
Wainui,T2923,Trailer Yacht,Trailer Yachts,J Lidgard,
Wainui,T751,,Caribou 17,F Pelin,
Waiolai,6461,Keelboat,Salar 40,Laurent Giles,Wellington
Waiomo,99,,,Logan,
Waione,33,Keelboat,A Class,Chas Bailey Jnr,
Waione,1439,,,J Spencer,
Waiora,T92,Trailer Yacht,,O Woolley,
Waiora,6788,Keelboat,Pacemaker,D Ganley,Otago
Waipapa,8491,Keelboat,Birdsall,Beau Birdsall,
Waipuna,414,,Shoalcraft,Crooks,
Waipunga 2,5305,Keelboat,Mercedes Clipper,Mick Elmes,Nelson/Marlborough
Waipuru,2204,Other,H 28,Herreshoff,
Wairangi,2730,,,,
Wairau Express,T1104,Trailer Yacht,,TrethewayMarten,
Waireka,2371,,,Alan Wright,
Wairere,T1305,,Mallard 22,H Wagstaff,
Wairere II,128,,,La Huquet,
Wairiki,1109,Keelboat,,Logan,
Wairima,6174,Keelboat,Lidgard 44,J Lidgard,
Wairipo,T3385,,Joker 6.7,R Given,
Wairoaiti,831,,,R L Stewart,
Wairua,T1366,,,Honey/Trethewey,
Wairua,3474,,,B Ayling,
Waitane,1630,Other,,R Hartley,
Waitangi,A6,Keelboat,A Class,Robert Logan Snr,
Waitawa,T2410,,,Alan Wright,
Waitea,3272,,,R Hartley,
Waitemata Crossing,T3413,,,,
Waitemata Sparkling,1285,Other,,O Woolley,
Waitere II,879,,,B Woollacott,
Waitiki,,Keelboat,Roberts 50,Roberts,Auckland
Waitoa,347,Keelboat,,P Rhodes,
Waitoa II,710,Keelboat,,R Stewart,
Waitohi,6910,,,M Smith,
Waitoki,4782,,,D Ganley,
Waitoki,T1147,Trailer Yacht,,C Jeffrey,
Waituhi II,1780,,,Alan Wright,
Waitui,36,,,Atkinson,
Waiuta,4620,,,L F Herreshoff,
Waiwera Naturally Hot,8889,,,Bruce Farr,
Waiwhetu,913,,Townson 30,D T Townson,
Waka,8907,Keelboat,Thompson 850,Steve Thompson,Auckland
Waka Huia,8022,Keelboat,Young 88,Jim Young,
Waka II,7620,Multi-hull,,Crowther,
Waka Koa,10068,Keelboat,Beneteau Oceanis 45,,
Waka Two,7479,,,J Wharram,
Waka-Kiwa,8264,Keelboat,RORC 39,R Hartley,
Wakanui,T2855,Other,Sabre 20,A Scott,
Wakanui,2420,Keelboat,,C White,Auckland
Wakarere,1081,,,Crocker,
Wakarewa,T810,,,Alan Wright,
Wakaroa,9557,Keelboat,Deerfoot,Steve Dashew,
Wakatere,T2468,,,Jim Young,
Wakatoru,7023,Multi-hull,,A Piver,
Wakering,1407,,,Wornall,
Walkabout,589,,,H Cox,
Walkaway,4688,,Young 88,Jim Young,
Walkaway,T1319,,,Hart Bros,
Walkaway II,T1986,,,F Pelin,
Wally's Last Tango,T1524,,,J J Vn Giels,
Walnut Express,T4256,Trailer Yacht,Caribou 17,Frank Pelin,
Walter Mitty,3368,,,L F Herreshoff,
Wanaka,7411,,Catamaran,Malcolm Tennant,
